code,code_0,code_1,code_2,code_3,code_4,description,level,source
A00-B99,,,,,,Ciertas enfermedades infecciosas y parasitarias,0,icdcode.info
C00-D49,,,,,,Tumores [neoplasias],0,icdcode.info
D50-D89,,,,,,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad",0,icdcode.info
E00-E89,,,,,,"Enfermedades endocrinas, nutricionales y metabolicas",0,icdcode.info
F01-F99,,,,,,Trastornos mentales y del comportamiento,0,icdcode.info
G00-G99,,,,,,Enfermedades del sistema nervioso,0,icdcode.info
H00-H59,,,,,,Enfermedades del ojo y sus anexos,0,icdcode.info
H60-H95,,,,,,Enfermedades del oído y de la apófisis mastoides,0,icdcode.info
I00-I99,,,,,,Enfermedades del sistema circulatorio,0,icdcode.info
J00-J99,,,,,,Enfermedades del sistema respiratorio,0,icdcode.info
K00-K95,,,,,,Enfermedades del sistema digestivo,0,icdcode.info
L00-L99,,,,,,Enfermedades de la piel y del tejido subcutáneo,0,icdcode.info
M00-M99,,,,,,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,icdcode.info
N00-N99,,,,,,Enfermedades del sistema genitourinario,0,icdcode.info
O00-O9A,,,,,,"Embarazo, parto y puerperio",0,icdcode.info
P00-P96,,,,,,Ciertas afecciones originadas en el período perinatal,0,icdcode.info
Q00-Q99,,,,,,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,icdcode.info
R00-R99,,,,,," Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",0,icdcode.info
S00-T88,,,,,,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",0,icdcode.info
V01-Y99,,,,,,Causas externas de morbilidad y de mortalidad,0,icdcode.info
Z00-Z99,,,,,,Factores que influyen en el estado de salud y contacto con los servicios de salud,0,icdcode.info
H60-H62,H60-H95,,,,,Enfermedades del oído externo,1,icdcode.info
H65-H75,H60-H95,,,,,Enfermedades del oído medio y de la mastoides,1,icdcode.info
H80-H83,H60-H95,,,,,Enfermedades del oído interno,1,icdcode.info
H90-H95,H60-H95,,,,,Otros trastornos del oído,1,icdcode.info
H00-H06,H00-H59,,,,,"Trastornos del párpado, aparato lagrimal y órbita",1,icdcode.info
H10-H13,H00-H59,,,,,Trastornos de la conjuntiva,1,icdcode.info
H15-H22,H00-H59,,,,,"Trastornos de la esclerótica, córnea, iris y cuerpo ciliar",1,icdcode.info
G00-G09,G00-G99,,,,,Enfermedades inflamatorias del sistema nervioso central,1,icdcode.info
G10-G13,G00-G99,,,,,Atrofias sistémicas que afectan principalmente el sistema nervioso central,1,icdcode.info
G20-G26,G00-G99,,,,,Trastornos extrapiramidales y del movimiento,1,icdcode.info
H25-H28,H00-H59,,,,,Trastornos del cristalino,1,icdcode.info
H30-H36,H00-H59,,,,,Trastornos de la coroides y de la retina,1,icdcode.info
H40-H42,H00-H59,,,,,Glaucoma,1,icdcode.info
H43-H45,H00-H59,,,,,Trastornos del cuerpo vítreo y del globo ocular,1,icdcode.info
H46-H48,H00-H59,,,,,Trastornos del nervio óptico y de las vías ópticas,1,icdcode.info
H49-H52,H00-H59,,,,,"binocular, de la acomodación y de la refracción",1,icdcode.info
H53-H54,H00-H59,,,,,Alteraciones de la visión y ceguera,1,icdcode.info
F00-F09,F01-F99,,,,,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",1,icdcode.info
F10-F19,F01-F99,,,,,Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas,1,icdcode.info
F20-F29,F01-F99,,,,,"Esquizofrenia, trastornos esquizotípicos y trastornos delirantes",1,icdcode.info
F30-F39,F01-F99,,,,,Trastornos del humor [afectivos],1,icdcode.info
F40-F48,F01-F99,,,,,"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos",1,icdcode.info
E00-E07,E00-E89,,,,,Trastornos de la glándula tiroides,1,icdcode.info
E10-E14,E00-E89,,,,,Diabetes mellitus,1,icdcode.info
E15-E16,E00-E89,,,,,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas,1,icdcode.info
E20-E35,E00-E89,,,,,Trastornos de otras glándulas endocrinas,1,icdcode.info
D50-D53,D50-D89,,,,,Anemias nutricionales,1,icdcode.info
D55-D59,D50-D89,,,,,Anemias hemolíticas,1,icdcode.info
D60-D64,D50-D89,,,,,Anemias aplásticas y otras anemias,1,icdcode.info
D65-D69,D50-D89,,,,,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas",1,icdcode.info
D70-D77,D50-D89,,,,,Otras enfermedades de la sangre y de los órganos hematopoyéticos,1,icdcode.info
C00-C97,C00-D49,,,,,Tumores [neoplasias] malignos,1,icdcode.info
D00-D09,C00-D49,,,,,Tumores [neoplasias] in situ,1,icdcode.info
D10-D36,C00-D49,,,,,Tumores [neoplasias] benignos,1,icdcode.info
D37-D48,C00-D49,,,,,Tumores [neoplasias] de comportamiento incierto o desconocido,1,icdcode.info
G30-G32,G00-G99,,,,,Otras enfermedades degenerativas del sistema nervioso,1,icdcode.info
G35-G37,G00-G99,,,,,Enfermedades desmielinizantes del sistema nervioso central,1,icdcode.info
G40-G47,G00-G99,,,,,Trastornos episódicos y paroxísticos,1,icdcode.info
G50-G59,G00-G99,,,,,"Trastornos de los nervios, de las raíces y de los plexos nerviosos",1,icdcode.info
G60-G64,G00-G99,,,,,Polineuropatías y otros trastornos del sistema nervioso periférico,1,icdcode.info
G70-G73,G00-G99,,,,,Enfermedades musculares y de la unión neuromuscular,1,icdcode.info
G80-G83,G00-G99,,,,,Parálisis cerebral y otros síndromes paralíticos,1,icdcode.info
G90-G99,G00-G99,,,,,Otros trastornos del sistema nervioso,1,icdcode.info
A00-A09,A00-B99,,,,,Enfermedades infecciosas intestinales,1,icdcode.info
A15-A19,A00-B99,,,,,Tuberculosis,1,icdcode.info
H55-H59,H00-H59,,,,,Otros trastornos del ojo y sus anexos,1,icdcode.info
F50-F59,F01-F99,,,,,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,1,icdcode.info
F60-F69,F01-F99,,,,,Trastornos de la personalidad y del comportamiento en adultos,1,icdcode.info
F70-F79,F01-F99,,,,,Retraso mental,1,icdcode.info
F80-F89,F01-F99,,,,,Trastornos del desarrollo psicológico,1,icdcode.info
F90-F98,F01-F99,,,,,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia,1,icdcode.info
F99,F01-F99,,,,,"Trastorno mental, no especificado",1,icdcode.info
S00-S09,S00-T88,,,,,Traumatismos de la cabeza,1,icdcode.info
S10-S19,S00-T88,,,,,Traumatismos del cuello,1,icdcode.info
S20-S29,S00-T88,,,,,Traumatismos del tórax,1,icdcode.info
S30-S39,S00-T88,,,,,"Traumatismos del abdomen, de la región lumbosacra, de la columna lumbar y de la pelvis",1,icdcode.info
R00-R09,R00-R99,,,,,Síntomas y signos que involucran los sistemas circulatorio y respiratorio,1,icdcode.info
R10-R19,R00-R99,,,,,Síntomas y signos que involucran el sistema digestivo y el abdomen,1,icdcode.info
R20-R23,R00-R99,,,,,Síntomas y signos que involucran la piel y el tejido subcutáneo,1,icdcode.info
R25-R29,R00-R99,,,,,Síntomas y signos que involucran los sistemas nervioso y osteomuscular,1,icdcode.info
R30-R39,R00-R99,,,,,Síntomas y signos que involucran el sistema urinario,1,icdcode.info
R40-R46,R00-R99,,,,,"Síntomas y signos que involucran el conocimiento, la percepción, el estado emocional y la conducta",1,icdcode.info
R47-R49,R00-R99,,,,,Síntomas y signos que involucran el habla y la voz,1,icdcode.info
Q00-Q07,Q00-Q99,,,,,Malformaciones congénitas del sistema nervioso,1,icdcode.info
Q10-Q18,Q00-Q99,,,,,"Malformaciones congénitas del ojo, del oído, de la cara y del cuello",1,icdcode.info
Q20-Q28,Q00-Q99,,,,,Malformaciones congénitas del sistema circulatorio,1,icdcode.info
Q30-Q34,Q00-Q99,,,,,Malformaciones congénitas del sistema respiratorio,1,icdcode.info
